id,authorMemberIds,tagIds,titleJa,titleEn,publicationNameJa,publicationNameEn,thumbnail,publishedDate
14,1,7,動的アントコロニーシステムを用いた負荷分散グリッドコンピューティング,Load balancing using dynamic ant colony system based fault tolerance in grid computing,International Journal of Communication Networks and Information Security,International Journal Communication Networks and Information Security,14.jpg,2019-08
15,1,2,スマートフォンの回転ベクトルセンサを用いた建物内階段昇降距離推定,Estimating Distance of Going Up and down Stairs in a Building Using the Smartphone's Rotation Vector Sensor,ICMU,ICMU,15.jpg,2018-10
16,1,2,空間的アクセス局所性を考慮した無線メッシュ網の分散型キャッシュ置換ポリシー,Decentralized cache replacement policy for wireless mesh networks considering on spatial access locality,ITC-CSCC,ITC-CSCC,16.jpg,2018-07
17,1,1,通信処理を考慮したバックグラウンドタスクの一括実行スケジューリングによるAndroid端末の省電力化,Power Saving of Android Terminals by Batch Execution Scheduling of Background Tasks,電子情報通信学会論文誌B,IEICE Transactions on Communications,17.jpg,2018-05
18,1,3,遅延挿入型P2PTVトラフィック局所化（中継能力考慮）,Delay Insertion Based P2PTV Traffic Localization Considering Peer's Relaying Capability,IEICE Transactions on Communications,IEICE Transactions on Communications,18.jpg,2017-10
19,1,7,動的ACOに基づくフォールトトレランスグリッドスケジューリング,Dynamic ACO-based fault tolerance in grid computing,International Journal of Grid and Distributed Computing,International Journal of Grid and Distributed Computing,19.jpg,2017-12
20,1,4,長距離無線システムを用いた車両間情報伝達によるサグ部渋滞解消支援,Performance Study of Inter-Vehicle Information Dissemination Using Long Range Wireless System for Assisting Congestion Resolution at Sags,IEEE VNC,IEEE Vehicular Networking Conference,20.jpg,2017-11
21,1,3,P2PTVトラフィック局所化（利用帯域考慮）,Delay Insertion Based P2PTV Traffic Localization Considering Available Bandwidth of Logical Link,APNOMS2015,APNOMS2015,21.jpg,2015-08
22,1,3,遅延挿入型P2PTVトラフィック局所化（ASレベルトポロジ使用）,Delay-Insertion-Based P2PTV Traffic Localization Using AS-Level Topology Information,IEICE Transactions on Communications,IEICE Transactions on Communications,22.jpg,2015-11
23,1,2,移動送信端末に対応する無線メッシュ網のクロスレイヤマルチキャストルーチング,Cross-Layer Multicast Routing for Wireless Mesh Networks Supporting Mobile Sources,電子情報通信学会論文誌,IEICE Transactions,23.jpg,2015-11
24,1,4,異種無線システムによる車両間通信を用いたサグ部渋滞解消支援,Assisting Solution of Traffic Congestion At Sags Using Inter-Vehicle Communication with Heterogeneous Wireless Systems,IEEE VNC 2015,IEEE VNC 2015,24.jpg,2015-11
25,1,2,無線メッシュ網の負荷分散マルチパスルーティング,Load balanced multipath routing for wireless mesh networks: A step-by-step rate control approach,AHSP 2009,AHSP 2009,25.jpg,2009-03
26,1,1,アドホックネットワーク経路制御プロトコル（近傍ノード情報利用）,Ad hoc routing protocol with flooding control using unidirectional links,PIMRC 2007,PIMRC 2007,26.jpg,2007-09
27,1,1,近傍ノード情報に基づくフラッディング適応中継制御によるアドホックネットワークルーチングプロトコル,Ad Hoc Network Routing Protocol Using Neighbor Node Information,電子情報通信学会論文誌,IEICE Transactions,27.jpg,2007-05
28,1,1,片方向リンクを考慮したフラッディング領域制限型アドホックルーチング,Unidirectional Ad Hoc Routing with Area-Controlled Flooding,電子情報通信学会論文誌,IEICE Transactions,28.jpg,2006-08
29,1,9,グループに基づく無線メッシュネットワーク2層マルチキャスト,Group based two layer multicast for wireless mesh networks supporting mobile sources,ASON 2013,ASON 2013,29.jpg,2013-12
30,1,16,P2Pストリーミングツリー構築における信頼性に関する研究,A study on reliable peer-to-peer streaming tree construction using records of peer's duration,HUT-ICCE 2008,HUT-ICCE 2008,30.jpg,2008-06
